"2,1,13,5","[1, 3, 6, 12, 22, 40, 71, 121, 206, 344, 567, 925, 1495, 2411, 3873, 6163, 9626, 14706, 22029, 32574, 47942, 70478, 103323, 150507, 217133, 309754, 436875, 609928, 845017, 1163814, 1592804, 2163383, 2914951, 3898639, 5180440, 6846261, 9005514, 11793471, 15377846, 19966714, 25808146, 33174934, 42341427, 53575349, 67161647, 83435448, 102789299, 125628427, 152263963, 182789174, 217007693, 254394698, 294103101, 334671841, 374116596, 409755080, 438298392, 455882110, 458378041, 442524726, 407210952, 353702049, 286520504, 213728578, 145442593, 89899196, 50567121, 26119653, 12625399, 5827355, 2611900, 1130390, 463034, 178946, 65600, 23662, 8801, 3202, 1112, 386, 150, 72, 35, 17, 8, 3, 1]"
"2,1,13,6","[1, 3, 6, 12, 22, 40, 71, 121, 206, 344, 567, 925, 1489, 2371, 3734, 5841, 9060, 13806, 20578, 30188, 44078, 64410, 93921, 136102, 195785, 279255, 393431, 545860, 747048, 1012781, 1365174, 1835237, 2465632, 3308669, 4420900, 5860264, 7689939, 9990005, 12872262, 16490911, 21045622, 26779418, 33984492, 43023428, 54340675, 68437191, 85827409, 107018827, 132523670, 162864781, 198532390, 239777665, 286324496, 337039807, 389672673, 440630325, 484728386, 515453094, 524956696, 505759640, 453901386, 372827768, 275681050, 181542407, 106728110, 56833648, 28031099, 13037188, 5770715, 2417544, 965062, 382127, 159909, 70306, 30568, 12634, 4974, 1815, 572, 146, 28, 6, 3, 1]"
"3,0,3,0","[1, 4, 8, 16, 24, 6, 1]"
"3,0,4,0","[1, 4, 9, 20, 40, 72, 120, 169, 160, 85, 26, 9, 4, 1]"
"3,0,5,0","[1, 4, 10, 24, 52, 110, 216, 380, 572, 652, 406, 76, 12, 4, 1]"
"3,0,6,0","[1, 4, 10, 25, 56, 122, 260, 526, 1036, 1930, 3444, 5677, 7980, 8814, 6416, 3022, 831, 140, 20, 5, 1]"
"3,0,7,0","[1, 4, 10, 26, 60, 134, 300, 640, 1340, 2703, 5284, 9863, 17292, 27636, 37659, 39224, 27923, 10012, 1202, 104, 18, 4, 1]"
"3,0,8,0","[1, 4, 10, 26, 61, 138, 312, 680, 1460, 3063, 6364, 12957, 25712, 50079, 94863, 170771, 284994, 434688, 592475, 694478, 643393, 411791, 160938, 34292, 4688, 491, 56, 10, 4, 1]"
"3,0,9,0","[1, 4, 10, 26, 62, 142, 324, 720, 1576, 3385, 7234, 15196, 31338, 63779, 127399, 248128, 466823, 829350, 1370845, 2090876, 2898928, 3551521, 3673103, 2875347, 1381797, 294543, 24277, 1560, 91, 10, 4, 1]"
"3,0,10,0","[1, 4, 10, 26, 62, 143, 328, 732, 1616, 3501, 7562, 16136, 33966, 71111, 147361, 301274, 609042, 1212045, 2344734, 4373643, 7832240, 13401910, 21796159, 33467813, 48022397, 63596858, 76211908, 79786597, 67810262, 40855339, 14341926, 2506349, 231271, 16187, 1017, 55, 10, 4, 1]"
"3,1,3,1","[1, 4, 6, 1]"
"3,1,4,1","[1, 4, 9, 20, 38, 41, 6, 1]"
"3,1,4,2","[1, 4, 9, 14, 16, 24, 24, 12, 8, 6, 2]"
"3,1,5,1","[1, 4, 10, 24, 50, 83, 97, 74, 12, 4, 1]"
"3,1,5,2","[1, 4, 10, 22, 42, 73, 112, 75, 16, 4, 1]"
"3,1,6,1","[1, 4, 10, 25, 56, 122, 264, 516, 981, 1464, 1164, 393, 35, 4, 1]"
"3,1,6,2","[1, 4, 10, 25, 60, 130, 243, 450, 758, 1156, 1114, 670, 269, 109, 34, 6, 1]"
"3,1,6,3","[1, 4, 10, 25, 50, 96, 192, 384, 668, 940, 1003, 926, 525, 201, 15]"
"3,1,7,1","[1, 4, 10, 26, 60, 134, 301, 605, 1171, 2120, 3355, 4570, 4548, 2717, 510, 25, 3]"
"3,1,7,2","[1, 4, 10, 26, 64, 160, 392, 923, 2050, 3770, 5429, 5028, 2028, 253, 21, 1]"
"3,1,7,3","[1, 4, 10, 26, 62, 147, 354, 808, 1657, 3145, 4576, 4824, 3243, 1161, 133, 9]"
"3,1,8,1","[1, 4, 10, 26, 61, 138, 318, 679, 1467, 3113, 6360, 12844, 24898, 43228, 63259, 77135, 72676, 44249, 11432, 873, 88, 16, 4, 1]"
"3,1,8,2","[1, 4, 10, 26, 65, 164, 401, 956, 2250, 5086, 10830, 21827, 39844, 61175, 75812, 70997, 45911, 20026, 5781, 1417, 271, 22, 4]"
"3,1,8,3","[1, 4, 10, 26, 65, 164, 410, 1027, 2482, 5764, 13138, 27740, 53028, 84495, 97073, 62016, 14493, 905, 34, 4, 1]"
"3,1,8,4","[1, 4, 10, 26, 65, 150, 336, 768, 1688, 3648, 7500, 14310, 26088, 45522, 70740, 86828, 64018, 25496, 9634, 3638, 1412, 598, 244, 88, 40, 18, 8, 2]"
"3,1,9,1","[1, 4, 10, 26, 62, 142, 330, 719, 1571, 3389, 7008, 14344, 28254, 53135, 95192, 153340, 222656, 290379, 329123, 313201, 216507, 76129, 8356, 447, 60, 10, 4, 1]"
"3,1,9,2","[1, 4, 10, 26, 66, 168, 418, 1028, 2476, 5823, 13024, 28793, 61462, 123018, 228210, 371896, 472668, 375323, 122211, 7724, 46, 4, 1]"
"3,1,9,3","[1, 4, 10, 26, 66, 168, 420, 1056, 2553, 6046, 14124, 31208, 66454, 133543, 245050, 387081, 464851, 339082, 106165, 13564, 2230, 518, 145, 30, 4, 1]"
"3,1,9,4","[1, 4, 10, 26, 66, 166, 412, 1036, 2504, 5844, 13449, 29724, 62616, 123544, 222561, 349056, 427114, 356258, 174239, 41537, 3985, 224, 19, 4, 1]"
"3,1,10,1","[1, 4, 10, 26, 62, 143, 334, 731, 1621, 3562, 7598, 16232, 34234, 71083, 146619, 296028, 570994, 1022753, 1724369, 2707887, 3921842, 5215601, 6286749, 6696224, 5974693, 3831070, 1243327, 135443, 6957, 547, 48, 8]"
"3,1,10,2","[1, 4, 10, 26, 66, 169, 422, 1040, 2522, 5994, 13670, 31223, 69437, 150185, 319726, 661963, 1312846, 2463956, 4258960, 6527005, 8296896, 7933317, 5117964, 2113640, 540769, 85794, 8891, 290, 14]"
"3,1,10,3","[1, 4, 10, 26, 66, 169, 428, 1092, 2720, 6698, 16390, 39107, 92020, 212202, 475366, 1030224, 2126433, 4094721, 6988343, 9702656, 9356337, 4831027, 899417, 40724, 585, 29, 4, 1]"
"3,1,10,4","[1, 4, 10, 26, 66, 169, 428, 1092, 2720, 6703, 16364, 39113, 91532, 209657, 464231, 985486, 1969158, 3619170, 5879470, 7997127, 8487242, 6368386, 2909954, 751653, 108210, 8406, 419, 3]"
"3,1,10,5","[1, 4, 10, 26, 66, 169, 410, 992, 2352, 5504, 12780, 28398, 61506, 130250, 267514, 530863, 1013905, 1846193, 3145241, 4968912, 6970821, 8131073, 7169704, 4120535, 1270434, 214924, 22382, 1751, 80]"
